epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3844.95,1.15566,2.0666,0.92896,1.22242,0.78111,0.66036,0.74318,0.4748,0.77847,0.65154,0.72775,0.38612,1.20981,2.03331,0.8593,1.19865,0.0007228,0.0007228,0.0007228
86,3889.42,1.15307,2.06782,0.92858,1.21963,0.78538,0.65804,0.74397,0.47502,0.792,0.64534,0.7292,0.38729,1.20877,2.03252,0.85923,1.19754,0.0007195,0.0007195,0.0007195
87,3934.1,1.16236,2.07638,0.9372,1.22336,0.79187,0.65572,0.74511,0.47507,0.80151,0.64013,0.7287,0.38776,1.20845,2.03413,0.85626,1.19713,0.0007162,0.0007162,0.0007162
88,3978.93,1.14628,2.06783,0.92717,1.21971,0.78247,0.66096,0.74532,0.47577,0.80043,0.64345,0.72728,0.3874,1.20845,2.03453,0.85601,1.19704,0.0007129,0.0007129,0.0007129
89,4023.61,1.15664,2.0642,0.93059,1.21797,0.78346,0.66169,0.7445,0.47534,0.79572,0.6447,0.72717,0.38697,1.20882,2.03576,0.85697,1.19752,0.0007096,0.0007096,0.0007096
90,4068.11,1.16712,2.06683,0.92614,1.21849,0.78109,0.66667,0.74265,0.47435,0.78974,0.64743,0.72533,0.38747,1.20963,2.03792,0.85666,1.1981,0.0007063,0.0007063,0.0007063
91,4112.61,1.14661,2.06713,0.91895,1.2153,0.78327,0.66368,0.74298,0.47481,0.78727,0.64811,0.72591,0.3875,1.20984,2.03688,0.85583,1.19881,0.000703,0.000703,0.000703
92,4155.86,1.14753,2.06724,0.92591,1.21851,0.77955,0.66972,0.74262,0.47542,0.77646,0.65669,0.72666,0.38729,1.21273,2.03865,0.85473,1.20146,0.0006997,0.0006997,0.0006997
93,4200.06,1.14777,2.05945,0.91625,1.21013,0.77811,0.67032,0.74287,0.47447,0.77896,0.6569,0.72703,0.3875,1.21376,2.04019,0.855,1.20173,0.0006964,0.0006964,0.0006964
94,4244.95,1.1452,2.07137,0.91868,1.21327,0.77485,0.67234,0.74199,0.47467,0.7825,0.6534,0.72582,0.38703,1.21403,2.03966,0.85421,1.20118,0.0006931,0.0006931,0.0006931
95,4290.44,1.15315,2.05469,0.91348,1.2117,0.77678,0.66827,0.74195,0.47514,0.78335,0.65478,0.72661,0.38692,1.21514,2.04148,0.85339,1.20116,0.0006898,0.0006898,0.0006898
96,4336.66,1.15243,2.06187,0.91772,1.21023,0.77993,0.66567,0.74181,0.47459,0.783,0.65103,0.72593,0.38664,1.21506,2.04234,0.85092,1.20146,0.0006865,0.0006865,0.0006865
97,4381.7,1.1337,2.04783,0.90168,1.21014,0.77738,0.66633,0.74155,0.47424,0.77914,0.65757,0.7271,0.38679,1.21615,2.04321,0.84946,1.20236,0.0006832,0.0006832,0.0006832
98,4426.64,1.14419,2.06031,0.91617,1.21213,0.77107,0.67065,0.74081,0.47393,0.77836,0.65578,0.72614,0.38635,1.21625,2.04417,0.8486,1.20222,0.0006799,0.0006799,0.0006799
99,4471.83,1.13969,2.05765,0.90817,1.21002,0.77915,0.66346,0.74086,0.47437,0.77959,0.65108,0.72629,0.38708,1.2161,2.04311,0.84715,1.20253,0.0006766,0.0006766,0.0006766
100,4516.32,1.13313,2.05118,0.90642,1.20776,0.77492,0.66667,0.74159,0.47455,0.78175,0.65506,0.72731,0.38725,1.21654,2.04312,0.84715,1.20278,0.0006733,0.0006733,0.0006733
101,4561.22,1.1329,2.04802,0.89823,1.20982,0.77623,0.66503,0.74114,0.47456,0.77887,0.65672,0.72762,0.38719,1.21671,2.04322,0.84674,1.20309,0.00067,0.00067,0.00067
102,4605.49,1.1372,2.05223,0.9072,1.20897,0.77546,0.66436,0.74054,0.47393,0.77744,0.65738,0.72767,0.38738,1.2169,2.04381,0.8459,1.20323,0.0006667,0.0006667,0.0006667
103,4650.28,1.14011,2.04945,0.89986,1.209,0.77617,0.66169,0.74029,0.47343,0.77817,0.65638,0.72761,0.38801,1.21727,2.04476,0.84655,1.20379,0.0006634,0.0006634,0.0006634
104,4694.68,1.13169,2.05059,0.90203,1.20698,0.77767,0.66036,0.74067,0.4736,0.78152,0.65374,0.72617,0.38748,1.21717,2.04558,0.84565,1.2036,0.0006601,0.0006601,0.0006601
105,4739.25,1.13663,2.04575,0.89938,1.20803,0.77914,0.66136,0.74147,0.474,0.78262,0.65439,0.72677,0.38781,1.21797,2.04612,0.84554,1.20429,0.0006568,0.0006568,0.0006568
106,4783.93,1.12986,2.04352,0.89203,1.20319,0.78144,0.66055,0.74164,0.4739,0.78314,0.65539,0.72693,0.38756,1.21822,2.04661,0.84586,1.20477,0.0006535,0.0006535,0.0006535
