epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,16192.5,2.40588,2.49093,1.7265,1.15484,0.52575,0.40156,0.4581,0.21292,0.56149,0.35913,0.43579,0.16673,2.21477,2.05321,1.48954,1.08091,0.0004754,0.0004754,0.0004754
79,16355.2,2.45721,2.50299,1.74371,1.15026,0.53943,0.39009,0.45074,0.2086,0.45333,0.42105,0.42384,0.16425,2.19816,2.08258,1.49102,1.07379,0.0004556,0.0004556,0.0004556
80,16541.8,2.35105,2.42375,1.68128,1.14662,0.53943,0.39009,0.45074,0.2086,0.45333,0.42105,0.42384,0.16425,2.19816,2.08258,1.49102,1.07379,0.0004358,0.0004358,0.0004358
81,16702.2,2.19275,2.20849,1.58211,1.12885,0.53943,0.39009,0.45074,0.2086,0.45333,0.42105,0.42384,0.16425,2.19816,2.08258,1.49102,1.07379,0.000416,0.000416,0.000416
82,16922.2,2.41456,2.50414,1.7404,1.15399,0.47333,0.43963,0.4505,0.20914,0.45333,0.42105,0.41082,0.1599,2.19436,2.06706,1.47422,1.07367,0.0003962,0.0003962,0.0003962
83,17101.9,2.37798,2.38272,1.67181,1.14164,0.47333,0.43963,0.4505,0.20914,0.45333,0.42105,0.41082,0.1599,2.19436,2.06706,1.47422,1.07367,0.0003764,0.0003764,0.0003764
84,17341.7,2.3985,2.46601,1.66229,1.14686,0.47333,0.43963,0.4505,0.20914,0.45333,0.42105,0.41082,0.1599,2.19436,2.06706,1.47422,1.07367,0.0003566,0.0003566,0.0003566
85,17591.9,2.37862,2.43851,1.6971,1.16047,0.47,0.43653,0.45028,0.20922,0.53421,0.37283,0.41772,0.16229,2.19851,2.03818,1.46688,1.07247,0.0003368,0.0003368,0.0003368
86,17757.4,2.41908,2.46745,1.67417,1.15758,0.47,0.43653,0.45028,0.20922,0.53421,0.37283,0.41772,0.16229,2.19851,2.03818,1.46688,1.07247,0.000317,0.000317,0.000317
87,17909.2,2.42523,2.45116,1.68975,1.13215,0.47,0.43653,0.45028,0.20922,0.53421,0.37283,0.41772,0.16229,2.19851,2.03818,1.46688,1.07247,0.0002972,0.0002972,0.0002972
88,18091.8,2.31581,2.39093,1.61354,1.12409,0.47761,0.43034,0.44599,0.21128,0.52553,0.39628,0.42852,0.1604,2.1887,2.02819,1.4559,1.06964,0.0002774,0.0002774,0.0002774
89,18256.9,2.30489,2.42867,1.58204,1.13245,0.47761,0.43034,0.44599,0.21128,0.52553,0.39628,0.42852,0.1604,2.1887,2.02819,1.4559,1.06964,0.0002576,0.0002576,0.0002576
90,18461.8,2.36525,2.40382,1.65493,1.13807,0.47761,0.43034,0.44599,0.21128,0.52553,0.39628,0.42852,0.1604,2.1887,2.02819,1.4559,1.06964,0.0002378,0.0002378,0.0002378
91,18598.8,2.30365,2.43171,1.52564,1.12742,0.47761,0.43034,0.44599,0.21128,0.52553,0.39628,0.42852,0.1604,2.1887,2.02819,1.4559,1.06964,0.000218,0.000218,0.000218
92,18884.5,2.51766,2.66195,1.82169,1.18002,0.48667,0.45201,0.46323,0.20619,0.49818,0.40557,0.44196,0.16491,2.18757,2.03807,1.41731,1.06318,0.0001982,0.0001982,0.0001982
93,19256.6,2.47787,2.62295,1.70965,1.17613,0.48667,0.45201,0.46323,0.20619,0.49818,0.40557,0.44196,0.16491,2.18757,2.03807,1.41731,1.06318,0.0001784,0.0001784,0.0001784
94,20431,2.26913,2.37179,1.5209,1.12651,0.48667,0.45201,0.46323,0.20619,0.49818,0.40557,0.44196,0.16491,2.18757,2.03807,1.41731,1.06318,0.0001586,0.0001586,0.0001586
95,20630.9,2.32901,2.41912,1.62914,1.1489,0.49333,0.4582,0.4577,0.19802,0.51955,0.41176,0.43085,0.16572,2.18475,2.02747,1.40589,1.06041,0.0001388,0.0001388,0.0001388
96,21234.2,2.50441,2.66596,1.84508,1.1735,0.49333,0.4582,0.4577,0.19802,0.51955,0.41176,0.43085,0.16572,2.18475,2.02747,1.40589,1.06041,0.000119,0.000119,0.000119
97,21909.6,2.31671,2.36098,1.64541,1.14676,0.49333,0.4582,0.4577,0.19802,0.51955,0.41176,0.43085,0.16572,2.18475,2.02747,1.40589,1.06041,9.92e-05,9.92e-05,9.92e-05
98,22136.2,2.31184,2.39118,1.58384,1.13323,0.49,0.45511,0.44993,0.19359,0.48,0.44582,0.43506,0.16395,2.18705,2.03086,1.41646,1.06316,7.94e-05,7.94e-05,7.94e-05
99,22442.3,2.46631,2.60743,1.70004,1.16726,0.49,0.45511,0.44993,0.19359,0.48,0.44582,0.43506,0.16395,2.18705,2.03086,1.41646,1.06316,5.96e-05,5.96e-05,5.96e-05
100,22662.1,2.23994,2.30492,1.52638,1.12935,0.49,0.45511,0.44993,0.19359,0.48,0.44582,0.43506,0.16395,2.18705,2.03086,1.41646,1.06316,3.98e-05,3.98e-05,3.98e-05
